,Id,Model_Name,Model_Year,Brand_Name,Delaer_Name,Certified,Certified_Group,Deal,Mileage,Rating,Rating_Group,Review,Price,Price_Group
1913,1913,2022 Dodge Charger Scat Pack,2022,Dodge,Videon Chrysler Dodge Jeep RAM,Used,Used,Good Deal,692,4.9,Four Star,890.0,53919,Medium Price
1914,1914,2019 Hyundai Sonata Hybrid Limited,2019,Hyundai,Hertrich Hyundai of New Castle,Hyundai Certified,Brand_New,Good Deal,42031,4.1,Four Star,315.0,23700,Low Price
1915,1915,2022 Kia Stinger GT-Line,2022,Kia,"Delaware Cadillac, Subaru, Kia",Kia Certified,Brand_New,Good Deal,32958,4.9,Four Star,1071.0,34305,Low Price
1916,1916,2023 Kia K5 GT-Line,2023,Kia,"Delaware Cadillac, Subaru, Kia",Kia Certified,Brand_New,Good Deal,12095,4.9,Four Star,1071.0,31825,Low Price
1917,1917,2021 Kia Telluride SX,2021,Kia,"Delaware Cadillac, Subaru, Kia",Kia Certified,Brand_New,Good Deal,39141,4.9,Four Star,1071.0,43091,Low Price
1918,1918,2023 Toyota 4Runner 40th Anniversary Special Edition,2023,Toyota,Sloane Toyota of Malvern,Toyota Certified,Brand_New,Great Deal,11588,4.8,Four Star,3124.0,45995,Low Price
1919,1919,2022 Lexus ES 350 F Sport,2022,Lexus,Sloane Toyota of Malvern,Used,Used,Good Deal,11262,4.8,Four Star,3124.0,41995,Low Price
1920,1920,2023 Kia Telluride SX X-Line,2023,Kia,Capital Chrysler Jeep Dodge,Used,Used,Good Deal,9343,0.0,Bad,403.0,50822,Medium Price
1921,1921,2022 Jeep Grand Cherokee Summit,2022,Jeep,Capital Chrysler Jeep Dodge,Used,Used,Fair Deal,26895,0.0,Bad,403.0,53933,Medium Price
1922,1922,2018 Lexus GX 460 Base,2018,Lexus,AutoLenders of Newtown Square,Used,Used,Good Deal,45000,3.5,Three Star,414.0,35937,Low Price
1923,1923,2016 Lexus RX 450h Base (CVT),2016,Lexus,AutoLenders of Newtown Square,Used,Used,Good Deal,65894,3.5,Three Star,414.0,29852,Low Price
1924,1924,2018 Volkswagen Tiguan Limited 2.0T,2018,Volkswagen,Wynn Volkswagen,Used,Used,Good Deal,91718,4.9,Four Star,1883.0,14000,Low Price
1925,1925,2018 Ford Expedition Limited,2018,Ford,Peter Boulware Toyota of Columbia,Used,Used,Good Deal,69444,2.7,Two Star,403.0,34263,Low Price
1926,1926,2014 Kia Sorento LX,2014,Kia,Weathers Motors,Used,Used,Great Deal,69598,4.6,Four Star,146.0,13751,Low Price
1927,1927,2021 Toyota 4Runner SR5,2021,Toyota,Toliver Chevrolet GMC,Used,Used,Good Deal,57294,0.0,Bad,19.0,35300,Low Price
1928,1928,2023 Jeep Grand Cherokee L Summit,2023,Jeep,Taylor BMW,Used,Used,Good Deal,9232,0.0,Bad,26.0,63899,Medium Price
1929,1929,2015 Chevrolet Corvette Stingray Z51,2015,Chevrolet,Patriot Chrysler Dodge Jeep RAM,Used,Used,Fair Deal,120060,4.5,Four Star,1137.0,38500,Low Price
1930,1930,2023 BMW X4 M AWD,2023,BMW,Bergey's Chevrolet of Plymouth Meeting,Used,Used,Good Deal,3613,4.8,Four Star,769.0,78495,Medium Price
1931,1931,2023 Chevrolet Suburban RST,2023,Chevrolet,Gwatney Chevrolet,New,New,Other Deal,0,0.0,Bad,390.0,70100,Medium Price
1932,1932,2017 Chevrolet Corvette Stingray,2017,Chevrolet,Bergey's Chevrolet of Plymouth Meeting,Used,Used,Good Deal,27040,4.8,Four Star,769.0,47295,Low Price
1933,1933,2022 Chevrolet Silverado 2500 High Country,2022,Chevrolet,Bergey's Chevrolet of Plymouth Meeting,Chevrolet Certified,Brand_New,Good Deal,18379,4.8,Four Star,769.0,69999,Medium Price
1934,1934,2017 Mercedes-Benz GLS 450 Base 4MATIC,2017,Mercedes-Benz,Bergey's Chevrolet of Plymouth Meeting,Used,Used,Fair Deal,71425,4.8,Four Star,769.0,28255,Low Price
1935,1935,2022 Chevrolet Tahoe RST,2022,Chevrolet,J. L. Freed Honda,Used,Used,Good Deal,31410,4.7,Four Star,1564.0,66967,Medium Price
1936,1936,2022 Honda CR-V EX-L,2022,Honda,Piazza Acura of Ardmore,Used,Used,Good Deal,10291,4.8,Four Star,633.0,31998,Low Price
1937,1937,2017 Honda Accord EX-L,2017,Honda,Piazza Acura of Ardmore,Used,Used,Good Deal,68534,4.8,Four Star,633.0,19300,Low Price
1938,1938,2020 Acura MDX 3.5L w/Technology Package,2020,Acura,Piazza Acura of Ardmore,Acura Certified,Brand_New,Good Deal,52700,4.8,Four Star,633.0,32994,Low Price
1939,1939,2021 Volkswagen Atlas Cross Sport 3.6L V6 SEL,2021,Volkswagen,Hutchinson Kia of Macon,Used,Used,Great Deal,44782,2.9,Two Star,212.0,28990,Low Price
1940,1940,2008 Ford F-250 XLT,2008,Ford,Morris Smith Ford of Larned,Used,Used,Great Deal,122506,4.3,Four Star,6.0,19993,Low Price
1941,1941,2021 Mercedes-Benz GLE 450 4MATIC,2021,Mercedes-Benz,Mercedes-Benz of Fort Washington,Mercedes-Benz Certified,Brand_New,Good Deal,6799,4.6,Four Star,2893.0,67125,Medium Price
